id,serve_type_id,meal_type_id,hot_cold,meal_name,price
66,2,3,Hot,Meal 66,22.09
67,3,2,Cold,Meal 67,63.62
68,2,4,Hot,Meal 68,40
69,3,1,Cold,Meal 69,67.95
70,3,2,Hot,Meal 70,49.04
71,1,4,Hot,Meal 71,76.32
72,3,2,Hot,Meal 72,20.82
73,2,4,Hot,Meal 73,22.97
74,1,1,Cold,Meal 74,49.62
75,3,2,Hot,Meal 75,80.69
76,2,3,Cold,Meal 76,27.16
77,3,2,Hot,Meal 77,78.81
78,3,2,Cold,Meal 78,27.57
79,2,2,Hot,Meal 79,37.41
80,1,2,Hot,Meal 80,37.08
81,3,2,Cold,Meal 81,64.56
82,1,2,Cold,Meal 82,36.15
83,1,2,Hot,Meal 83,63.93
84,1,1,Hot,Meal 84,52.02
85,2,3,Cold,Meal 85,49.5
86,3,2,Cold,Meal 86,47.59
87,3,2,Cold,Meal 87,39.45
88,3,2,Cold,Meal 88,32.09
89,2,1,Cold,Meal 89,34.9
90,3,2,Cold,Meal 90,50.01
91,2,2,Hot,Meal 91,38.71
92,3,1,Hot,Meal 92,61.83
93,3,2,Hot,Meal 93,36.37
94,1,2,Cold,Meal 94,39.21
95,3,2,Cold,Meal 95,54.81
96,3,2,Cold,Meal 96,46.14
97,2,3,Cold,Meal 97,23.58
98,3,2,Hot,Meal 98,68.68
99,3,1,Cold,Meal 99,35.61
100,2,3,Hot,Meal 100,64.29
101,3,2,Cold,Meal 101,31.69
102,3,2,Cold,Meal 102,79.39
103,1,4,Hot,Meal 103,75.4
104,1,3,Cold,Meal 104,33.73
105,1,3,Cold,Meal 105,79.36
106,1,1,Cold,Meal 106,25.81
107,1,2,Cold,Meal 107,62.44
108,1,4,Cold,Meal 108,68.18
109,1,4,Cold,Meal 109,46.68
110,1,4,Hot,Meal 110,69.48
111,1,4,Hot,Meal 111,58.45
112,2,2,Hot,Meal 112,66.7
113,1,4,Cold,Meal 113,30.12
114,1,3,Hot,Meal 114,76.3
115,2,4,Hot,Meal 115,62.16
116,3,2,Cold,Meal 116,43.96
117,2,2,Hot,Meal 117,53.81
118,3,1,Cold,Meal 118,32.87
119,3,2,Hot,Meal 119,80.92
120,2,1,Cold,Meal 120,52.26
121,1,1,Hot,Meal 121,63.32
122,3,1,Hot,Meal 122,31.07
123,2,2,Cold,Meal 123,26.23
124,1,4,Cold,Meal 124,53.98
125,3,2,Cold,Meal 125,23.07
126,3,1,Cold,Meal 126,31.51
127,3,1,Hot,Meal 127,30.93
128,2,4,Hot,Meal 128,68.15
129,2,2,Hot,Meal 129,36.65
130,2,1,Hot,Meal 130,66.07
131,3,2,Hot,Meal 131,21.74
132,1,1,Cold,Meal 132,40.36
133,3,2,Cold,Meal 133,32.49
134,2,1,Cold,Meal 134,41.07
135,1,3,Hot,Meal 135,37.63
136,2,4,Cold,Meal 136,39.91
137,2,2,Cold,Meal 137,24.43
138,2,4,Cold,Meal 138,50.87
139,2,1,Hot,Meal 139,59.27
140,2,2,Hot,Meal 140,38.05
141,1,1,Hot,Meal 141,76.28
142,3,1,Cold,Meal 142,39.87
143,3,1,Cold,Meal 143,52.28
144,3,2,Hot,Meal 144,42.89
145,1,1,Hot,Meal 145,64.21
146,3,2,Cold,Meal 146,33.5
147,3,1,Cold,Meal 147,34.45
148,3,1,Hot,Meal 148,60.31
149,3,1,Cold,Meal 149,32.65
150,2,1,Cold,Meal 150,31.28
151,1,3,Hot,Meal 151,33.52
152,1,2,Hot,Meal 152,64.49
153,2,4,Cold,Meal 153,31.66
154,3,1,Hot,Meal 154,27.42
155,3,1,Hot,Meal 155,46.09
156,3,1,Hot,Meal 156,30.8
157,3,2,Hot,Meal 157,50.61
158,2,2,Cold,Meal 158,66.87
159,2,4,Cold,Meal 159,48.95
160,1,3,Hot,Meal 160,33.6
161,1,2,Hot,Meal 161,26.38
162,1,2,Cold,Meal 162,40.31
163,3,1,Hot,Meal 163,52.89
164,2,3,Hot,Meal 164,35.57
165,1,1,Hot,Meal 165,24.35
166,2,1,Hot,Meal 166,57.71
167,3,2,Hot,Meal 167,29.42
168,3,1,Hot,Meal 168,34.7
169,3,1,Hot,Meal 169,40
170,2,3,Hot,Meal 170,57.23
171,3,1,Cold,Meal 171,64.95
172,2,4,Cold,Meal 172,36.7
173,3,2,Hot,Meal 173,39.36
174,3,2,Hot,Meal 174,34.14
175,2,4,Cold,Meal 175,59.55
176,2,2,Cold,Meal 176,39
177,2,2,Cold,Meal 177,30.36
178,2,4,Cold,Meal 178,47.61
179,1,3,Cold,Meal 179,41.84
180,2,4,Cold,Meal 180,73.63
181,1,4,Cold,Meal 181,76.35
182,2,1,Hot,Meal 182,32.18
183,2,2,Cold,Meal 183,39.19
184,1,3,Cold,Meal 184,75.68
185,3,2,Cold,Meal 185,23.77
186,2,2,Hot,Meal 186,77.94
187,3,1,Cold,Meal 187,51.18
188,3,2,Cold,Meal 188,39.23
189,1,2,Hot,Meal 189,39.87
190,1,3,Cold,Meal 190,35.48
191,2,1,Hot,Meal 191,23.8
192,1,4,Hot,Meal 192,45.48
193,1,3,Hot,Meal 193,66.93
194,1,2,Hot,Meal 194,55.07
195,1,4,Cold,Meal 195,47.03
196,3,1,Hot,Meal 196,29.02
197,3,1,Cold,Meal 197,44.93
198,3,1,Hot,Meal 198,30.39
199,3,1,Cold,Meal 199,39.13
200,3,2,Hot,Meal 200,53.43
201,1,2,Cold,Meal 201,34.3
202,1,3,Cold,Meal 202,66.82
203,3,2,Hot,Meal 203,53.37
204,3,2,Hot,Meal 204,51.12
205,2,1,Cold,Meal 205,75.18
206,3,1,Hot,Meal 206,41
207,2,3,Cold,Meal 207,58.87
208,2,2,Hot,Meal 208,50.46
209,3,2,Hot,Meal 209,80.6
210,2,2,Hot,Meal 210,36.2
211,2,2,Hot,Meal 211,56.7
212,2,3,Cold,Meal 212,34.18
213,1,3,Hot,Meal 213,25.1
214,3,1,Hot,Meal 214,46.06
215,2,1,Hot,Meal 215,60.38
216,1,2,Cold,Meal 216,31.17
217,3,2,Hot,Meal 217,31.06
218,2,4,Cold,Meal 218,22.77
219,3,1,Hot,Meal 219,31.92
220,2,3,Cold,Meal 220,38.96
221,3,1,Cold,Meal 221,54.48
222,1,4,Cold,Meal 222,69.41
223,1,1,Hot,Meal 223,33.84
224,3,2,Cold,Meal 224,35.25
225,3,2,Cold,Meal 225,32.07
226,2,4,Hot,Meal 226,46.74
227,1,4,Hot,Meal 227,56.46
228,3,2,Hot,Meal 228,72.46
229,2,3,Cold,Meal 229,29.48
230,3,2,Hot,Meal 230,57.75
231,1,1,Cold,Meal 231,70.33
232,3,1,Cold,Meal 232,74.62
233,3,1,Cold,Meal 233,24.78
234,2,1,Hot,Meal 234,33.68
235,1,2,Hot,Meal 235,52.75
236,1,2,Hot,Meal 236,80.37
237,2,3,Cold,Meal 237,37.54
238,2,4,Cold,Meal 238,55.34
239,3,1,Cold,Meal 239,33.95
240,1,3,Cold,Meal 240,47.27
241,2,1,Cold,Meal 241,48.14
242,3,2,Hot,Meal 242,43.34
243,1,1,Cold,Meal 243,54.01
244,3,1,Hot,Meal 244,79.67
245,3,2,Cold,Meal 245,48.31
246,3,2,Hot,Meal 246,64.13
247,3,2,Hot,Meal 247,33.08
248,3,2,Cold,Meal 248,42.85
249,3,1,Cold,Meal 249,22.42
250,3,2,Hot,Meal 250,38.73
251,1,3,Hot,Meal 251,35.12
252,1,3,Hot,Meal 252,34.29
253,3,2,Cold,Meal 253,44.22
254,1,3,Cold,Meal 254,21.83
255,2,1,Cold,Meal 255,40.22
256,3,1,Hot,Meal 256,26.59
257,1,3,Cold,Meal 257,26.8
258,3,1,Cold,Meal 258,45.06
259,2,2,Hot,Meal 259,31.27
260,2,2,Hot,Meal 260,33.09
261,2,1,Hot,Meal 261,50.34
262,2,3,Cold,Meal 262,79.91
263,3,2,Cold,Meal 263,27.99
264,1,2,Hot,Meal 264,31.63
265,1,1,Cold,Meal 265,24.81
266,2,3,Cold,Meal 266,31.82
267,3,1,Cold,Meal 267,37.24
268,3,1,Cold,Meal 268,38.83
269,2,3,Hot,Meal 269,80.02
270,3,1,Cold,Meal 270,48.23
271,1,1,Cold,Meal 271,66.05
272,3,2,Cold,Meal 272,36.65
273,3,1,Hot,Meal 273,30.97
274,2,4,Hot,Meal 274,40.37
275,2,1,Cold,Meal 275,29.33
276,1,3,Cold,Meal 276,30.68
277,3,1,Hot,Meal 277,49.56
278,1,2,Hot,Meal 278,66.41
279,2,1,Hot,Meal 279,78.12
280,2,1,Cold,Meal 280,44.1
281,2,2,Hot,Meal 281,35.94
282,1,2,Cold,Meal 282,43.71
283,3,2,Cold,Meal 283,47.49
284,1,2,Cold,Meal 284,39.04
285,3,2,Hot,Meal 285,36.41
286,1,3,Hot,Meal 286,31.71
287,3,2,Cold,Meal 287,32.3
288,3,2,Cold,Meal 288,30.79
289,3,1,Hot,Meal 289,27.51
290,2,2,Cold,Meal 290,46.79
291,3,1,Hot,Meal 291,41.41
292,3,2,Cold,Meal 292,39.21
293,1,3,Hot,Meal 293,32.13
294,1,1,Hot,Meal 294,35.57
295,3,2,Hot,Meal 295,66.53
296,2,4,Cold,Meal 296,33.64
297,3,1,Cold,Meal 297,75.19
298,3,2,Hot,Meal 298,33.51
299,2,3,Hot,Meal 299,47.86
300,3,2,Hot,Meal 300,31.69
301,2,4,Hot,Meal 301,75.87
302,3,1,Cold,Meal 302,44.08
303,3,1,Hot,Meal 303,48.23
304,3,2,Hot,Meal 304,20.5
305,3,2,Hot,Meal 305,59.26
306,3,2,Hot,Meal 306,72.61
307,2,2,Hot,Meal 307,66.85
308,3,1,Hot,Meal 308,42.32
309,2,3,Cold,Meal 309,45.59
310,2,1,Hot,Meal 310,28.9
311,1,2,Hot,Meal 311,30.53
312,1,1,Hot,Meal 312,46.8
313,1,1,Cold,Meal 313,46.59
314,3,1,Hot,Meal 314,53.19
315,2,3,Cold,Meal 315,76.58
316,1,4,Cold,Meal 316,54.72
317,2,1,Cold,Meal 317,35.57
318,2,2,Cold,Meal 318,33.33
319,1,2,Hot,Meal 319,79.51
320,3,1,Hot,Meal 320,40.61
321,2,2,Cold,Meal 321,30.66
322,3,2,Hot,Meal 322,60.79
323,1,2,Hot,Meal 323,38.43
324,3,1,Hot,Meal 324,32.91
325,2,2,Hot,Meal 325,35.23
326,2,2,Cold,Meal 326,40.98
327,1,2,Cold,Meal 327,36.71
328,3,1,Hot,Meal 328,33.92
329,1,2,Cold,Meal 329,24.43
330,1,1,Cold,Meal 330,65.33
331,2,3,Hot,Meal 331,28.25
332,1,3,Hot,Meal 332,30.08
333,2,2,Cold,Meal 333,23.32
334,2,4,Hot,Meal 334,47.46
335,2,4,Hot,Meal 335,62.57
336,2,2,Cold,Meal 336,40.45
337,2,4,Cold,Meal 337,31.79
338,2,2,Cold,Meal 338,51.91
339,1,1,Cold,Meal 339,72.47
340,3,1,Cold,Meal 340,48.03
341,1,4,Cold,Meal 341,52
342,1,2,Cold,Meal 342,76.28
343,1,4,Hot,Meal 343,36.11
344,2,1,Hot,Meal 344,24.19
345,1,4,Cold,Meal 345,43.08
346,3,1,Cold,Meal 346,68.34
347,2,2,Hot,Meal 347,70.82
348,1,1,Cold,Meal 348,37.15
349,2,1,Cold,Meal 349,54.51
350,2,3,Cold,Meal 350,59.53
